





 



综合,#genre#
解锁更多,http://150.158.112.123/jar/gzh.mp4
关注公众号,http://150.158.112.123/jar/gzh.mp4
非凡小小,http://150.158.112.123/jar/gzh.mp4
功夫,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist_w101.m3u8

影视轮播1,http://zby.xjqxz.top/dzzypd/live.m3u8
影视轮播2,http://zby.xjqxz.top/dzzypd3/live.m3u8
影视轮播3,http://zby.xjqxz.top/dzzypd2/live.m3u8
影视轮播4,http://zby.xjqxz.top/gzdsj3/live.m3u8
影视轮播5,http://zby.xjqxz.top/kzzypd/live.m3u8
影视轮播6,http://zby.xjqxz.top/dsdsj1/live.m3u8
影视轮播7,http://120.77.28.4:8648/huya.php?id=21059595
影视轮播8,http://120.77.28.4:8648/huya.php?id=11342427
影视轮播9,http://120.77.28.4:8648/huya.php?id=21059598
星光影迷https://ali.hlspull.yximgs.com/live/11077536.flv
经典功夫台,http://ali.hlspull.yximgs.com/live/asdfg99338.flv
经典,http://ali.hlspull.yximgs.com/live/asdfg6699388.flv
经典都是,http://ali.hlspull.yximgs.com/live/asdfg32619.flv
经典音乐,http://ali.hlspull.yximgs.com/live/asdfg659911975.flv
经典怀旧,http://ali.hlspull.yximgs.com/live/asdfg659901975.flv
经典台,http://ali.hlspull.yximgs.com/live/asdfg6899366.flv
经典娱乐,http://ali.hlspull.yximgs.com/live/asdfg5899038.flv
经典电影,http://ali.hlspull.yximgs.com/live/asdfg978707232.flv
经典乡村,http://ali.hlspull.yximgs.com/live/asdfg863678266.flv
经典综艺,http://ali.hlspull.yximgs.com/live/asdfg171759930.flv
经典少儿,http://ali.hlspull.yximgs.com/live/asdfg315962975.flv
未来,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8
龙腾功夫,https://ali.hlspull.yximgs.com/live/lgtv99838.flv
熊猫功夫台,http://data.3g.yy.com/live/hls/1507716299/1507716299
星光戏剧界台,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
檬檬功夫台,http://huanqiuzhibo.cn/manifest/douyu.php?id=9838414
经典古装,http://ali.hlspull.yximgs.com/live/_pa_chong_bo___POPC.flv
香港功夫台,http://huanqiuzhibo.cn/manifest/douyu.php?id=9548850
龙腾经典台,https://ali.hlspull.yximgs.com/live/lgtv93858.flv

🌏｜央视,#genre#

CCTV-1,http://113.56.219.132:35455/ysptp/cctv1.m3u8
CCTV-1,http://113.56.219.132:35455/itv/6000000001000029752.m3u8?cdn=wasusyt
CCTV-1,http://113.56.219.132:35455/itv/5000000004000002226.m3u8?cdn=bestzb
CCTV-1,http://113.56.219.132:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV-2,http://113.56.219.132:35455/ysptp/cctv2.m3u8
CCTV-2,http://113.56.219.132:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-2,http://113.56.219.132:35455/itv/6000000001000014161.m3u8?cdn=wasusyt
CCTV-2,http://113.56.219.132:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-3,http://113.56.219.132:35455/ysptp/cctv3.m3u8
CCTV-3,http://113.56.219.132:35455/itv/6000000001000022313.m3u8?cdn=wasusyt
CCTV-3,http://113.56.219.132:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV-4,http://113.56.219.132:35455/ysptp/cctv4.m3u8
CCTV-4,http://113.56.219.132:35455/itv/5000000011000031102.m3u8?cdn=bestzb
CCTV-4,http://113.56.219.132:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV-5,http://113.56.219.132:35455/ysptp/cctv5.m3u8
CCTV-5,http://113.56.219.132:35455/itv/1000000005000025222.m3u8?cdn=ystenlive
CCTV-5,http://113.56.219.132:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5,http://113.56.219.132:35455/ysptp/cctv5p.m3u8
CCTV-5+,http://113.56.219.132:35455/itv/6000000001000015875.m3u8?cdn=wasusyt
CCTV-5+,http://113.56.219.132:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-6,http://113.56.219.132:35455/itv/1000000001000001737.m3u8?cdn=ystenlive
CCTV-6,http://113.56.219.132:35455/itv/6000000001000004574.m3u8?cdn=wasusyt
CCTV-6,http://113.56.219.132:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV-7,http://113.56.219.132:35455/ysptp/cctv7.m3u8
CCTV-7,http://113.56.219.132:35455/itv/1000000001000024341.m3u8?cdn=ystenlive
CCTV-7,http://113.56.219.132:35455/itv/6000000001000009055.m3u8?cdn=wasusyt
CCTV-7,http://113.56.219.132:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV-8,http://113.56.219.132:35455/ysptp/cctv8.m3u8
CCTV-8,http://113.56.219.132:35455/itv/6000000001000001070.m3u8?cdn=wasusyt
CCTV-8,http://113.56.219.132:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV-9,http://113.56.219.132:35455/ysptp/cctv9.m3u8
CCTV-9,http://113.56.219.132:35455/itv/1000000001000014583.m3u8?cdn=ystenlive
CCTV-9,http://113.56.219.132:35455/itv/6000000001000032162.m3u8?cdn=wasusyt
CCTV-9,http://113.56.219.132:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV-10,http://113.56.219.132:35455/ysptp/cctv10.m3u8
CCTV-10,http://113.56.219.132:35455/itv/1000000001000023734.m3u8?cdn=ystenlive
CCTV-10,http://113.56.219.132:35455/itv/5000000004000012827.m3u8?cdn=bestzb
CCTV-10,http://113.56.219.132:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV-11,http://113.56.219.132:35455/ysptp/cctv11.m3u8
CCTV-11,http://113.56.219.132:35455/itv/5000000011000031106.m3u8?cdn=bestzb
CCTV-11,http://113.56.219.132:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV-12,http://113.56.219.132:35455/ysptp/cctv12.m3u8
CCTV-12,http://113.56.219.132:35455/itv/1000000001000032494.m3u8?cdn=ystenlive
CCTV-12,http://113.56.219.132:35455/itv/6000000001000022586.m3u8?cdn=wasusyt
CCTV-12,http://113.56.219.132:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV-13,http://113.56.219.132:35455/ysptp/cctv13.m3u8
CCTV-13,http://113.56.219.132:35455/itv/5000000011000031108.m3u8?cdn=bestzb
CCTV-14,http://113.56.219.132:35455/ysptp/cctv14.m3u8
CCTV-14,http://113.56.219.132:35455/itv/1000000001000008170.m3u8?cdn=ystenlive
CCTV-14,http://113.56.219.132:35455/itv/5000000004000006673.m3u8?cdn=bestzb
CCTV-14,http://113.56.219.132:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV-15,http://113.56.219.132:35455/ysptp/cctv15.m3u8
CCTV-15,http://113.56.219.132:35455/itv/5000000011000031109.m3u8?cdn=bestzb
CCTV-15,http://113.56.219.132:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV-16,http://113.56.219.132:35455/ysptp/cctv16.m3u8
CCTV-16,http://113.56.219.132:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-17,http://113.56.219.132:35455/ysptp/cctv17.m3u8
CCTV-17,http://113.56.219.132:35455/itv/1000000006000268004.m3u8?cdn=ystenlive
CCTV-17,http://113.56.219.132:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
CGTN,http://113.56.219.132:35455/itv/7745129417417101820.m3u8?cdn=hnbblive
CGTN-JL,http://113.56.219.132:35455/itv/7114647837765104058.m3u8?cdn=hnbblive
CGTN-OR,http://113.56.219.132:35455/ysptp/cgtnar.m3u8
